1、四则运算题目1: 76-34+13=
2621、四则运算题目2621: 16+18=
2622、四则运算题目2622: 3+68-1=
2623、四则运算题目2623: 56+82+46=
2624、四则运算题目2624: 47+49-48=
2625、四则运算题目2625: 60-25+73=
2626、四则运算题目2626: 54-2-26=
2627、四则运算题目2627: 51-51-0=
2628、四则运算题目2628: 71-22-11=
2629、四则运算题目2629: 21-8=
2630、四则运算题目2630: 0+47=
2631、四则运算题目2631: 46+67=
2632、四则运算题目2632: 79+61=
2633、四则运算题目2633: 72+85=
2634、四则运算题目2634: 47-19+5=
2635、四则运算题目2635: 7-3+65=
2636、四则运算题目2636: 96+59+90=
2637、四则运算题目2637: 0+16+74=
2638、四则运算题目2638: 52-26-12=
2639、四则运算题目2639: 49+85-39=
2640、四则运算题目2640: 38+16+28=
2641、四则运算题目2641: 84+72=
2642、四则运算题目2642: 18-15=
2643、四则运算题目2643: 32+89+49=
2644、四则运算题目2644: 51-32=
2645、四则运算题目2645: 55+22-6=
2646、四则运算题目2646: 33+59-18=
2647、四则运算题目2647: 65-14=
2648、四则运算题目2648: 0+57=
2649、四则运算题目2649: 99+45-33=
2650、四则运算题目2650: 53-22=
2651、四则运算题目2651: 28+38=
2652、四则运算题目2652: 45-44=
2653、四则运算题目2653: 88+58+81=
2654、四则运算题目2654: 48-30=
2655、四则运算题目2655: 86+66=
2656、四则运算题目2656: 1-1-0=
2657、四则运算题目2657: 84-49=
2658、四则运算题目2658: 51+36-28=
2659、四则运算题目2659: 64-4=
2660、四则运算题目2660: 10+24+61=
2661、四则运算题目2661: 85+51=
2662、四则运算题目2662: 68+79=
2663、四则运算题目2663: 47-23=
2664、四则运算题目2664: 16+59=
2665、四则运算题目2665: 83-58=
2666、四则运算题目2666: 95-56+77=
2667、四则运算题目2667: 10+23=
2668、四则运算题目2668: 17-9=
2669、四则运算题目2669: 41-41=
2670、四则运算题目2670: 64-27=
2671、四则运算题目2671: 66-38=
2672、四则运算题目2672: 64+1+46=
2673、四则运算题目2673: 45-43-1=
2674、四则运算题目2674: 24+2-8=
2675、四则运算题目2675: 87+94=
2676、四则运算题目2676: 87-41=
2677、四则运算题目2677: 59-21-7=
2678、四则运算题目2678: 5+5+71=
2679、四则运算题目2679: 46-36-5=
2680、四则运算题目2680: 74+48-26=
2681、四则运算题目2681: 92+38+1=
2682、四则运算题目2682: 77+99-10=
2683、四则运算题目2683: 24-12=
2684、四则运算题目2684: 89+35=
2685、四则运算题目2685: 16-1+24=
2686、四则运算题目2686: 32-4=
2687、四则运算题目2687: 42+62+69=
2688、四则运算题目2688: 19-18=
2689、四则运算题目2689: 48-37-11=
2690、四则运算题目2690: 18+93=
2691、四则运算题目2691: 56-56=
2692、四则运算题目2692: 85-59+80=
2693、四则运算题目2693: 29+4-18=
2694、四则运算题目2694: 72-29=
2695、四则运算题目2695: 48+44=
2696、四则运算题目2696: 3+63=
2697、四则运算题目2697: 64+56-88=
2698、四则运算题目2698: 73+72=
2699、四则运算题目2699: 68+92+23=
2700、四则运算题目2700: 93+54=
2701、四则运算题目2701: 56+1-27=
2702、四则运算题目2702: 87-50+69=
2703、四则运算题目2703: 62+79-31=
2704、四则运算题目2704: 84+8+99=
2705、四则运算题目2705: 23-12=
2706、四则运算题目2706: 75+28=
2707、四则运算题目2707: 37+8=
2708、四则运算题目2708: 90+0+27=
2709、四则运算题目2709: 0-0=
2710、四则运算题目2710: 87-42+33=
2711、四则运算题目2711: 62+93=
2712、四则运算题目2712: 83-57-0=
2713、四则运算题目2713: 15+72+42=
2714、四则运算题目2714: 45-16=
2715、四则运算题目2715: 61-8=
2716、四则运算题目2716: 75-21=
2717、四则运算题目2717: 68-56=
2718、四则运算题目2718: 74-22-5=
2719、四则运算题目2719: 65+57=
2720、四则运算题目2720: 92+10=
2721、四则运算题目2721: 90+8-68=
2722、四则运算题目2722: 77+86+4=
2723、四则运算题目2723: 86+61=
2724、四则运算题目2724: 20-18=
2725、四则运算题目2725: 37+20=
2726、四则运算题目2726: 70-26=
2727、四则运算题目2727: 93+79+22=
2728、四则运算题目2728: 61+89=
2729、四则运算题目2729: 30+99=
2730、四则运算题目2730: 79-4-64=
2731、四则运算题目2731: 48+35=
2732、四则运算题目2732: 5+13=
2733、四则运算题目2733: 13+44-24=
2734、四则运算题目2734: 74+80=
2735、四则运算题目2735: 55-8-13=
2736、四则运算题目2736: 47-20=
2737、四则运算题目2737: 93+55+62=
2738、四则运算题目2738: 59+1+61=
2739、四则运算题目2739: 20+81=
2740、四则运算题目2740: 54-39=
2741、四则运算题目2741: 88-72=
2742、四则运算题目2742: 13+63=
2743、四则运算题目2743: 77-22-45=
2744、四则运算题目2744: 35-27=
2745、四则运算题目2745: 13-13+32=
2746、四则运算题目2746: 77-1+54=
2747、四则运算题目2747: 85-34+84=
2748、四则运算题目2748: 25-14+3=
2749、四则运算题目2749: 74-1+46=
2750、四则运算题目2750: 24+7=
2751、四则运算题目2751: 27-20=
2752、四则运算题目2752: 85+70-39=
2753、四则运算题目2753: 30-6=
2754、四则运算题目2754: 36+39=
2755、四则运算题目2755: 63-38-25=
2756、四则运算题目2756: 21-8+40=
2757、四则运算题目2757: 78+80=
2758、四则运算题目2758: 34-3+45=
2759、四则运算题目2759: 99-35=
2760、四则运算题目2760: 76+35=
2761、四则运算题目2761: 53+79=
2762、四则运算题目2762: 43+66=
2763、四则运算题目2763: 3+77=
2764、四则运算题目2764: 96-40+47=
2765、四则运算题目2765: 6+26=
2766、四则运算题目2766: 59-59=
2767、四则运算题目2767: 8+42-10=
2768、四则运算题目2768: 95+83-11=
2769、四则运算题目2769: 15+21=
2770、四则运算题目2770: 58+20=
2771、四则运算题目2771: 86-1-40=
2772、四则运算题目2772: 70+37=
2773、四则运算题目2773: 75-71=
2774、四则运算题目2774: 31+11=
2775、四则运算题目2775: 28+17+85=
2776、四则运算题目2776: 21+76-25=
2777、四则运算题目2777: 10+84=
2778、四则运算题目2778: 77-18-42=
2779、四则运算题目2779: 2+41+31=
2780、四则运算题目2780: 13-1-2=
2781、四则运算题目2781: 18-2=
2782、四则运算题目2782: 90-1=
2783、四则运算题目2783: 48-7+20=
2784、四则运算题目2784: 54-7-35=
2785、四则运算题目2785: 84+35=
2786、四则运算题目2786: 94-26-0=
2787、四则运算题目2787: 37-22=
2788、四则运算题目2788: 51-6=
2789、四则运算题目2789: 57-0=
2790、四则运算题目2790: 11-3=
2791、四则运算题目2791: 14+4=
2792、四则运算题目2792: 58-56=
2793、四则运算题目2793: 62+93+12=
2794、四则运算题目2794: 17+12+40=
2795、四则运算题目2795: 66-55-2=
2796、四则运算题目2796: 94-62=
2797、四则运算题目2797: 59+71-68=
2798、四则运算题目2798: 68+21=
2799、四则运算题目2799: 42-21-17=
2800、四则运算题目2800: 28+82=
2801、四则运算题目2801: 87-49=
2802、四则运算题目2802: 90-50=
2803、四则运算题目2803: 66-42=
2804、四则运算题目2804: 40-16-17=
2805、四则运算题目2805: 17-8+71=
2806、四则运算题目2806: 85-76=
2807、四则运算题目2807: 15-5+39=
2808、四则运算题目2808: 24+61=
2809、四则运算题目2809: 82-78+5=
2810、四则运算题目2810: 12+35-14=
2811、四则运算题目2811: 85+96+29=
2812、四则运算题目2812: 58+51+32=
2813、四则运算题目2813: 88-24=
2814、四则运算题目2814: 5+9=
2815、四则运算题目2815: 64+64=
2816、四则运算题目2816: 75-28=
2817、四则运算题目2817: 85-49+67=
2818、四则运算题目2818: 4-1=
2819、四则运算题目2819: 54+41=
2820、四则运算题目2820: 32-3=
2821、四则运算题目2821: 94+12=
2822、四则运算题目2822: 90+63=
2823、四则运算题目2823: 40+73=
2824、四则运算题目2824: 45-4-38=
2825、四则运算题目2825: 75+70+60=
2826、四则运算题目2826: 29+30+37=
2827、四则运算题目2827: 50-35=
2828、四则运算题目2828: 35+28+6=
2829、四则运算题目2829: 80-16=
2830、四则运算题目2830: 27+15+21=
2831、四则运算题目2831: 52+50-24=
2832、四则运算题目2832: 95-62+89=
2833、四则运算题目2833: 76+18=
2834、四则运算题目2834: 80-47=
2835、四则运算题目2835: 46+92+76=
2836、四则运算题目2836: 5+48+5=
2837、四则运算题目2837: 87-29-48=
2838、四则运算题目2838: 30-6=
2839、四则运算题目2839: 99-97-2=
2840、四则运算题目2840: 62+31-23=
2841、四则运算题目2841: 80+65=
2842、四则运算题目2842: 67-29+45=
2843、四则运算题目2843: 57+75=
2844、四则运算题目2844: 1+90=
2845、四则运算题目2845: 7+28-31=
2846、四则运算题目2846: 55+66=
2847、四则运算题目2847: 21-0-19=
2848、四则运算题目2848: 50+61=
2849、四则运算题目2849: 90-1=
2850、四则运算题目2850: 90-2+25=
2851、四则运算题目2851: 80-68+59=
2852、四则运算题目2852: 28+32=
2853、四则运算题目2853: 13+81=
2854、四则运算题目2854: 67-37=
2855、四则运算题目2855: 2-1=
2856、四则运算题目2856: 7+50-21=
2857、四则运算题目2857: 76+61=
2858、四则运算题目2858: 79+61+58=
2859、四则运算题目2859: 8-4-0=
2860、四则运算题目2860: 84+17-12=
2861、四则运算题目2861: 91-31-40=
2862、四则运算题目2862: 43-40=
2863、四则运算题目2863: 19+76=
2864、四则运算题目2864: 22-22=
2865、四则运算题目2865: 48-47+24=
2866、四则运算题目2866: 71+96=
2867、四则运算题目2867: 12+37=
2868、四则运算题目2868: 67+84+28=
2869、四则运算题目2869: 94-73=
2870、四则运算题目2870: 57-53+11=
2871、四则运算题目2871: 75-29=
2872、四则运算题目2872: 81+9+55=
2873、四则运算题目2873: 94+79-95=
2874、四则运算题目2874: 61+70+28=
2875、四则运算题目2875: 4-0=
2876、四则运算题目2876: 11-8=
2877、四则运算题目2877: 70+43=
2878、四则运算题目2878: 94+60-64=
2879、四则运算题目2879: 52-23=
2880、四则运算题目2880: 81-81=
2881、四则运算题目2881: 5-0=
2882、四则运算题目2882: 88-33-54=
2883、四则运算题目2883: 36+90=
2884、四则运算题目2884: 83+39=
2885、四则运算题目2885: 35-22-13=
2886、四则运算题目2886: 74-27+5=
2887、四则运算题目2887: 30-7=
2888、四则运算题目2888: 29+38-8=
2889、四则运算题目2889: 90-83-4=
2890、四则运算题目2890: 27-4-13=
2891、四则运算题目2891: 95+89-54=
2892、四则运算题目2892: 7+10=
2893、四则运算题目2893: 59+87=
2894、四则运算题目2894: 90+83+3=
2895、四则运算题目2895: 52-4+89=
2896、四则运算题目2896: 52-1=
2897、四则运算题目2897: 67-26=
2898、四则运算题目2898: 42-27-8=
2899、四则运算题目2899: 55-2+19=
2900、四则运算题目2900: 83-8-4=
2901、四则运算题目2901: 60-23=
2902、四则运算题目2902: 32-15=
2903、四则运算题目2903: 90+73=
2904、四则运算题目2904: 47-14+53=
2905、四则运算题目2905: 83+7-5=
2906、四则运算题目2906: 0-0-0=
2907、四则运算题目2907: 78-43=
2908、四则运算题目2908: 98-88=
2909、四则运算题目2909: 33-4=
2910、四则运算题目2910: 94+74+10=
2911、四则运算题目2911: 73-62=
2912、四则运算题目2912: 65+12=
2913、四则运算题目2913: 33+29=
2914、四则运算题目2914: 43+33=
2915、四则运算题目2915: 31-21=
2916、四则运算题目2916: 66-66+48=
2917、四则运算题目2917: 65+49-60=
2918、四则运算题目2918: 51-5=
2919、四则运算题目2919: 32+28=
2920、四则运算题目2920: 49+50-54=
2921、四则运算题目2921: 39+68+1=
2922、四则运算题目2922: 81+8+1=
2923、四则运算题目2923: 94-87=
2924、四则运算题目2924: 87+2-47=
2925、四则运算题目2925: 74+43=
2926、四则运算题目2926: 18-14-1=
2927、四则运算题目2927: 95+2-51=
2928、四则运算题目2928: 9+74=
2929、四则运算题目2929: 75+74-67=
2930、四则运算题目2930: 35+49+50=
2931、四则运算题目2931: 63-4-1=
2932、四则运算题目2932: 15+11-13=
2933、四则运算题目2933: 18-16-2=
2934、四则运算题目2934: 70+79-79=
2935、四则运算题目2935: 36-22-3=
2936、四则运算题目2936: 53-40=
2937、四则运算题目2937: 1+11=
2938、四则运算题目2938: 52-10-39=
2939、四则运算题目2939: 97-94=
2940、四则运算题目2940: 77-55+98=
2941、四则运算题目2941: 27+25-9=
2942、四则运算题目2942: 36-33+51=
2943、四则运算题目2943: 5+84-46=
2944、四则运算题目2944: 6+73=
2945、四则运算题目2945: 69+93=
2946、四则运算题目2946: 17+18+36=
2947、四则运算题目2947: 53+99+33=
2948、四则运算题目2948: 12+77=
2949、四则运算题目2949: 74-10=
2950、四则运算题目2950: 17-13-3=
2951、四则运算题目2951: 93-87+28=
2952、四则运算题目2952: 8+73-14=
2953、四则运算题目2953: 50-3+76=
2954、四则运算题目2954: 57-9=
2955、四则运算题目2955: 24-8=
2956、四则运算题目2956: 51-33+20=
2957、四则运算题目2957: 80-16=
2958、四则运算题目2958: 29-2-17=
2959、四则运算题目2959: 20+86-95=
2960、四则运算题目2960: 19-14=
2961、四则运算题目2961: 30-18=
2962、四则运算题目2962: 23+47=
2963、四则运算题目2963: 57-9+8=
2964、四则运算题目2964: 74-40=
2965、四则运算题目2965: 22+65+57=
2966、四则运算题目2966: 20+51=
2967、四则运算题目2967: 70+87+48=
2968、四则运算题目2968: 37+37=
2969、四则运算题目2969: 5+3-7=
2970、四则运算题目2970: 87+0=
2971、四则运算题目2971: 59+66=
2972、四则运算题目2972: 93+3=
2973、四则运算题目2973: 60+72=
2974、四则运算题目2974: 37-18+67=
2975、四则运算题目2975: 86-14=
2976、四则运算题目2976: 51+21=
2977、四则运算题目2977: 22-16=
2978、四则运算题目2978: 51-17=
2979、四则运算题目2979: 14+47=
2980、四则运算题目2980: 76-6=
2981、四则运算题目2981: 83-39=
2982、四则运算题目2982: 17-4-5=
2983、四则运算题目2983: 16+70+22=
2984、四则运算题目2984: 65+30=
2985、四则运算题目2985: 48+97+44=
2986、四则运算题目2986: 51+48=
2987、四则运算题目2987: 34-13=
2988、四则运算题目2988: 45-43=
2989、四则运算题目2989: 60-5=
2990、四则运算题目2990: 10+62=
2991、四则运算题目2991: 63+73+47=
2992、四则运算题目2992: 53-28=
2993、四则运算题目2993: 17+99-79=
2994、四则运算题目2994: 29+77+97=
2995、四则运算题目2995: 8+91-79=
2996、四则运算题目2996: 35+8+31=
2997、四则运算题目2997: 19-10=
2998、四则运算题目2998: 70+13=
2999、四则运算题目2999: 69+66-12=
3000、四则运算题目3000: 88-55-32=
3001、四则运算题目3001: 23-12=
3002、四则运算题目3002: 59-6+58=
3003、四则运算题目3003: 82-82+10=
3004、四则运算题目3004: 10+10-1=
3005、四则运算题目3005: 88+9-69=
3006、四则运算题目3006: 70-52+91=
3007、四则运算题目3007: 29-21-3=
3008、四则运算题目3008: 96+48+87=
3009、四则运算题目3009: 50-50=
3010、四则运算题目3010: 63-19-39=
3011、四则运算题目3011: 71+9=
3012、四则运算题目3012: 96-83-10=
3013、四则运算题目3013: 97-33-25=
3014、四则运算题目3014: 43-43-0=
3015、四则运算题目3015: 27+36=
3016、四则运算题目3016: 1-0-1=
3017、四则运算题目3017: 72+45+77=
3018、四则运算题目3018: 12-12-0=
3019、四则运算题目3019: 11-4=
3020、四则运算题目3020: 79+75=
3021、四则运算题目3021: 6+26+30=
3022、四则运算题目3022: 45-0-14=
3023、四则运算题目3023: 1+70=
3024、四则运算题目3024: 42-23-14=
3025、四则运算题目3025: 79-48+47=
3026、四则运算题目3026: 98+63+34=
3027、四则运算题目3027: 38+75+44=
3028、四则运算题目3028: 14-2+86=
3029、四则运算题目3029: 28+64=
3030、四则运算题目3030: 31-30+32=
3031、四则运算题目3031: 8-5=
3032、四则运算题目3032: 43-39+18=
3033、四则运算题目3033: 42+96+69=
3034、四则运算题目3034: 80+63+30=
3035、四则运算题目3035: 38-15+78=
3036、四则运算题目3036: 49-5=
3037、四则运算题目3037: 78-29+2=
3038、四则运算题目3038: 21-14+56=
3039、四则运算题目3039: 67-2+27=
3040、四则运算题目3040: 7-7-0=
3041、四则运算题目3041: 53+22-50=
3042、四则运算题目3042: 4+36=
3043、四则运算题目3043: 55+15=
3044、四则运算题目3044: 40+74-41=
3045、四则运算题目3045: 61+97+90=
3046、四则运算题目3046: 48-21=
3047、四则运算题目3047: 92-84=
3048、四则运算题目3048: 87+57=
3049、四则运算题目3049: 60-39+76=
3050、四则运算题目3050: 42-31=
3051、四则运算题目3051: 1-0-0=
3052、四则运算题目3052: 17-7=
3053、四则运算题目3053: 26-0=
3054、四则运算题目3054: 93-91=
3055、四则运算题目3055: 62-25+65=
3056、四则运算题目3056: 91+18-1=
3057、四则运算题目3057: 30-16=
3058、四则运算题目3058: 52+44=
3059、四则运算题目3059: 5+13=
3060、四则运算题目3060: 53-45+36=
3061、四则运算题目3061: 32-15=
3062、四则运算题目3062: 28-23-0=
3063、四则运算题目3063: 49-25=
3064、四则运算题目3064: 99-32-1=
3065、四则运算题目3065: 75-17+45=
3066、四则运算题目3066: 20-7+12=
3067、四则运算题目3067: 30-13=
3068、四则运算题目3068: 42-17=
3069、四则运算题目3069: 9+73=
3070、四则运算题目3070: 89+53=
3071、四则运算题目3071: 74-45=
3072、四则运算题目3072: 52+5+96=
3073、四则运算题目3073: 91-27+31=
3074、四则运算题目3074: 24-11-7=
3075、四则运算题目3075: 40-40=
3076、四则运算题目3076: 46-2=
3077、四则运算题目3077: 36+86=
3078、四则运算题目3078: 21-7-5=
3079、四则运算题目3079: 66-40=
3080、四则运算题目3080: 56-3=
3081、四则运算题目3081: 83-53+25=
3082、四则运算题目3082: 82+47+32=
3083、四则运算题目3083: 37+68-89=
3084、四则运算题目3084: 86-54=
3085、四则运算题目3085: 62+53-55=
3086、四则运算题目3086: 47-45=
3087、四则运算题目3087: 6+54-21=
3088、四则运算题目3088: 12+43+77=
3089、四则运算题目3089: 40-20-17=
3090、四则运算题目3090: 36+53=
3091、四则运算题目3091: 49-44=
3092、四则运算题目3092: 21-9-7=
3093、四则运算题目3093: 68+26=
3094、四则运算题目3094: 80-78+22=
3095、四则运算题目3095: 37+80-76=
3096、四则运算题目3096: 87+34-55=
3097、四则运算题目3097: 98-11-2=
3098、四则运算题目3098: 98+96=
3099、四则运算题目3099: 25+88=
3100、四则运算题目3100: 35+28-35=
3101、四则运算题目3101: 13+12=
3102、四则运算题目3102: 39+15=
3103、四则运算题目3103: 94-56=
3104、四则运算题目3104: 83+10=
3105、四则运算题目3105: 38+14-1=
3106、四则运算题目3106: 90-50=
3107、四则运算题目3107: 8+16=
3108、四则运算题目3108: 2+16=
3109、四则运算题目3109: 41+99+34=
3110、四则运算题目3110: 23+39+14=
3111、四则运算题目3111: 67+32=
3112、四则运算题目3112: 88+95=
3113、四则运算题目3113: 26+35=
3114、四则运算题目3114: 47+18+29=
3115、四则运算题目3115: 47-23+32=
3116、四则运算题目3116: 69+28-92=
3117、四则运算题目3117: 19+10=
3118、四则运算题目3118: 50+46+50=
3119、四则运算题目3119: 6-4=
3120、四则运算题目3120: 24+20=
3121、四则运算题目3121: 12-11-1=
3122、四则运算题目3122: 50-20+58=
3123、四则运算题目3123: 15+34-24=
3124、四则运算题目3124: 78-42-35=
3125、四则运算题目3125: 85-19+8=
3126、四则运算题目3126: 29-26=
3127、四则运算题目3127: 55+45=
3128、四则运算题目3128: 36-3+88=
3129、四则运算题目3129: 42+0=
3130、四则运算题目3130: 36+61=
3131、四则运算题目3131: 62+82=
3132、四则运算题目3132: 8+63+58=
3133、四则运算题目3133: 63+21-36=
3134、四则运算题目3134: 86+9+65=
3135、四则运算题目3135: 45-38=
3136、四则运算题目3136: 85-8=
3137、四则运算题目3137: 38-38+83=
3138、四则运算题目3138: 52+62+53=
3139、四则运算题目3139: 59+68=
3140、四则运算题目3140: 55-12=
3141、四则运算题目3141: 14+79-56=
3142、四则运算题目3142: 62+57=
3143、四则运算题目3143: 82-49+4=
3144、四则运算题目3144: 89+60+49=
3145、四则运算题目3145: 48+37+48=
3146、四则运算题目3146: 48-17=
3147、四则运算题目3147: 17-16-0=
3148、四则运算题目3148: 19+25=
3149、四则运算题目3149: 27+72+17=
3150、四则运算题目3150: 15-1+27=
3151、四则运算题目3151: 85+23+12=
3152、四则运算题目3152: 4+50-13=
3153、四则运算题目3153: 83+51=
3154、四则运算题目3154: 75+6+39=
3155、四则运算题目3155: 25-23-1=
3156、四则运算题目3156: 17-12=
3157、四则运算题目3157: 17-1-13=
3158、四则运算题目3158: 8-4-3=
3159、四则运算题目3159: 67+98-26=
3160、四则运算题目3160: 9+47=
3161、四则运算题目3161: 48-36=
3162、四则运算题目3162: 80+61=
3163、四则运算题目3163: 11-1+11=
3164、四则运算题目3164: 32-25-6=
3165、四则运算题目3165: 72+3=
3166、四则运算题目3166: 16+33+61=
3167、四则运算题目3167: 39-34+4=
3168、四则运算题目3168: 23+32+21=
3169、四则运算题目3169: 74-52-7=
3170、四则运算题目3170: 92+21+67=
3171、四则运算题目3171: 4-3=
3172、四则运算题目3172: 5+46=
3173、四则运算题目3173: 66-6+71=
3174、四则运算题目3174: 78-42-7=
3175、四则运算题目3175: 54+8=
3176、四则运算题目3176: 64+3=
3177、四则运算题目3177: 74-4=
3178、四则运算题目3178: 22-7=
3179、四则运算题目3179: 24+21-34=
3180、四则运算题目3180: 93-83=
3181、四则运算题目3181: 25+22-12=
3182、四则运算题目3182: 67-52=
3183、四则运算题目3183: 44+19=
3184、四则运算题目3184: 98+93=
3185、四则运算题目3185: 54-5-36=
3186、四则运算题目3186: 42+94=
3187、四则运算题目3187: 41-27=
3188、四则运算题目3188: 92-37=
3189、四则运算题目3189: 63+58=
3190、四则运算题目3190: 85+47+48=
3191、四则运算题目3191: 73+94-12=
3192、四则运算题目3192: 5-5-0=
3193、四则运算题目3193: 36+45=
3194、四则运算题目3194: 41-0+15=
3195、四则运算题目3195: 60-54=
3196、四则运算题目3196: 8+17=
3197、四则运算题目3197: 25+87=
3198、四则运算题目3198: 26-19=
3199、四则运算题目3199: 87-69+2=
3200、四则运算题目3200: 43+1=
3201、四则运算题目3201: 54+6-15=
3202、四则运算题目3202: 72+47+14=
3203、四则运算题目3203: 93-75=
3204、四则运算题目3204: 78+45-97=
3205、四则运算题目3205: 74+33=
3206、四则运算题目3206: 33+7=
3207、四则运算题目3207: 21-14-2=
3208、四则运算题目3208: 58-10=
3209、四则运算题目3209: 96+14+24=
3210、四则运算题目3210: 53+70=
3211、四则运算题目3211: 82-19=
3212、四则运算题目3212: 33-23-3=
3213、四则运算题目3213: 85+63+46=
3214、四则运算题目3214: 59+68=
3215、四则运算题目3215: 7+13=
3216、四则运算题目3216: 35+50=
3217、四则运算题目3217: 87-24=
3218、四则运算题目3218: 29-25=
3219、四则运算题目3219: 71+57-3=
3220、四则运算题目3220: 17-0+52=
3221、四则运算题目3221: 62-24=
3222、四则运算题目3222: 68-36-3=
3223、四则运算题目3223: 58-58=
3224、四则运算题目3224: 46-33+19=
3225、四则运算题目3225: 70-21+13=
3226、四则运算题目3226: 35-34=
3227、四则运算题目3227: 85+6=
3228、四则运算题目3228: 78+22=
3229、四则运算题目3229: 77+95+58=
3230、四则运算题目3230: 91-50+97=
3231、四则运算题目3231: 45+63=
3232、四则运算题目3232: 22-3=
3233、四则运算题目3233: 84+22=
3234、四则运算题目3234: 84+54=
3235、四则运算题目3235: 54+66-81=
3236、四则运算题目3236: 2-1+88=
3237、四则运算题目3237: 39-11=
3238、四则运算题目3238: 20-17+52=
3239、四则运算题目3239: 97-80+26=
3240、四则运算题目3240: 19-1+47=
3241、四则运算题目3241: 13+31-35=
3242、四则运算题目3242: 53+57-74=
3243、四则运算题目3243: 7+20-0=
3244、四则运算题目3244: 38-9=
3245、四则运算题目3245: 48-6+82=
3246、四则运算题目3246: 37+71-81=
3247、四则运算题目3247: 76+18-63=
3248、四则运算题目3248: 58-28=
3249、四则运算题目3249: 51-37=
3250、四则运算题目3250: 65-60-4=
3251、四则运算题目3251: 93+14=
3252、四则运算题目3252: 26+8=
3253、四则运算题目3253: 39+27-64=
3254、四则运算题目3254: 0+10+24=
3255、四则运算题目3255: 58-2=
3256、四则运算题目3256: 21-17=
3257、四则运算题目3257: 36+28=
3258、四则运算题目3258: 0+13-1=
3259、四则运算题目3259: 51+96+6=
3260、四则运算题目3260: 35+83=
3261、四则运算题目3261: 8+55=
3262、四则运算题目3262: 28-2-19=
3263、四则运算题目3263: 84-33+4=
3264、四则运算题目3264: 12-12=
3265、四则运算题目3265: 41+58=
3266、四则运算题目3266: 76-40=
3267、四则运算题目3267: 52-14=
3268、四则运算题目3268: 78-70=
3269、四则运算题目3269: 42-12+74=
3270、四则运算题目3270: 25-15=
3271、四则运算题目3271: 17+45=
3272、四则运算题目3272: 96+22=
3273、四则运算题目3273: 74+10+80=
3274、四则运算题目3274: 55+76-62=
3275、四则运算题目3275: 16+81=
3276、四则运算题目3276: 56+19=
3277、四则运算题目3277: 87+97+75=
3278、四则运算题目3278: 24-9-15=
3279、四则运算题目3279: 83-40-16=
3280、四则运算题目3280: 71+48-36=
3281、四则运算题目3281: 50+5+16=
3282、四则运算题目3282: 98+92=
3283、四则运算题目3283: 4+73=
3284、四则运算题目3284: 71-26+71=
3285、四则运算题目3285: 13+20=
3286、四则运算题目3286: 20+48-68=
3287、四则运算题目3287: 37+31=
3288、四则运算题目3288: 85+74+30=
3289、四则运算题目3289: 53+22=
3290、四则运算题目3290: 75-43-15=
3291、四则运算题目3291: 15+38-11=
3292、四则运算题目3292: 98-86=
3293、四则运算题目3293: 78+6=
3294、四则运算题目3294: 85+72=
3295、四则运算题目3295: 32-2=
3296、四则运算题目3296: 58+71=
3297、四则运算题目3297: 68+8=
3298、四则运算题目3298: 58-18-12=
3299、四则运算题目3299: 12+80=
3300、四则运算题目3300: 0+52=
3301、四则运算题目3301: 12+70+24=
3302、四则运算题目3302: 61+84=
3303、四则运算题目3303: 49-46+81=
3304、四则运算题目3304: 3-2+5=
3305、四则运算题目3305: 61+62-77=
3306、四则运算题目3306: 76+30=
3307、四则运算题目3307: 71+29+10=
3308、四则运算题目3308: 66+27=
3309、四则运算题目3309: 52+84+31=
3310、四则运算题目3310: 77+5+94=
3311、四则运算题目3311: 15+85=
3312、四则运算题目3312: 22-12=
3313、四则运算题目3313: 60+5=
3314、四则运算题目3314: 22+4-23=
3315、四则运算题目3315: 27-26=
3316、四则运算题目3316: 61+2-34=
3317、四则运算题目3317: 24+30-17=
3318、四则运算题目3318: 52-33=
3319、四则运算题目3319: 29-28-1=
3320、四则运算题目3320: 27-9=
3321、四则运算题目3321: 41-38-3=
3322、四则运算题目3322: 29+57-82=
3323、四则运算题目3323: 90-61+70=
3324、四则运算题目3324: 37+80+87=
3325、四则运算题目3325: 23+14+48=
3326、四则运算题目3326: 81-22+20=
3327、四则运算题目3327: 54-14-38=
3328、四则运算题目3328: 48+10=
3329、四则运算题目3329: 61+24+95=
3330、四则运算题目3330: 51+44+49=
3331、四则运算题目3331: 46+81+35=
3332、四则运算题目3332: 10-7+26=
3333、四则运算题目3333: 11+71=
3334、四则运算题目3334: 69+5-43=
3335、四则运算题目3335: 62+97+2=
3336、四则运算题目3336: 35-5-20=
3337、四则运算题目3337: 45-10=
3338、四则运算题目3338: 1+54=
3339、四则运算题目3339: 14-10=
3340、四则运算题目3340: 91+21-5=
3341、四则运算题目3341: 33+21=
3342、四则运算题目3342: 34-16-11=
3343、四则运算题目3343: 96+1=
3344、四则运算题目3344: 20+11=
3345、四则运算题目3345: 78-47-24=
3346、四则运算题目3346: 4-0=
3347、四则运算题目3347: 93-82=
3348、四则运算题目3348: 47+32+72=
3349、四则运算题目3349: 13+87+45=
3350、四则运算题目3350: 57+80=
3351、四则运算题目3351: 90-27-44=
3352、四则运算题目3352: 13-7=
3353、四则运算题目3353: 87-86+73=
3354、四则运算题目3354: 13+30=
3355、四则运算题目3355: 20+44=
3356、四则运算题目3356: 99+16=
